Name	Coefficient	Coefficient_std_error	Coefficient_P_value
gamma_delta_T_cell	1.894125789246459e-08	8.224907810812243e-09	0.010641832438735824
natural_killer_cell	1.6995146250728043e-08	8.92467817098116e-09	0.028436425465551984
CD14_positive_monocyte	1.979571243201443e-08	1.1131687233245255e-08	0.03767558008402291
peripheral_blood_mononuclear_cell	1.1974888239922743e-08	1.0476772713234817e-08	0.1265205433005413
transitional_stage_B_cell	1.0991166677706246e-08	1.0112934012014585e-08	0.1385532065514158
CD16_negative_CD56_bright_natural_killer_cell_human	8.830267965091749e-09	8.127641249219824e-09	0.13864018941980943
conventional_dendritic_cell	8.34874059055287e-09	8.64307715478747e-09	0.16703575233769136
hematopoietic_precursor_cell	8.651225205343764e-09	9.145017281175617e-09	0.1720732095127564
CD14_low_CD16_positive_monocyte	9.155417799030133e-09	9.935660023103945e-09	0.1784024130462809
dendritic_cell	6.887863800768876e-09	8.187885719111618e-09	0.2001106191974878
innate_lymphoid_cell	7.262416748253621e-09	9.100915852322462e-09	0.2124388828640652
naive_B_cell	6.303554331008309e-09	7.969191412775912e-09	0.2144747811148991
plasmacytoid_dendritic_cell	6.306991499458937e-09	9.79218235106202e-09	0.25976036592065793
erythrocyte	5.348873847051037e-09	8.87643740251957e-09	0.27338993389906296
platelet	2.4231242407746435e-09	8.269447488451488e-09	0.3847529360141583
CD8_positive_alpha_beta_T_cell	-9.38214951136511e-10	7.543695896960068e-09	0.5494891255093755
CD4_positive_alpha_beta_cytotoxic_T_cell	-1.136789974587818e-09	8.39369453043405e-09	0.5538655504449111
central_memory_CD8_positive_alpha_beta_T_cell	-2.0316394550153115e-09	8.787838970296625e-09	0.5914154709691576
effector_memory_CD8_positive_alpha_beta_T_cell	-2.1587628618839378e-09	7.806408994384676e-09	0.6089322726815198
memory_B_cell	-3.476065463899144e-09	8.688272967514922e-09	0.6554537973882228
mucosal_invariant_T_cell	-3.568220841608621e-09	8.089524198209538e-09	0.6704266430047188
plasmablast	-7.060444568399047e-09	7.840999877774227e-09	0.8160601392589454
central_memory_CD4_positive_alpha_beta_T_cell	-9.75612349043707e-09	7.886272566287557e-09	0.8919753895741679
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-9.099180782201675e-09	6.992496162444291e-09	0.9034183269493353
CD4_positive_alpha_beta_T_cell	-1.479935125401406e-08	9.474637081705257e-09	0.9408556093903337
double_negative_thymocyte	-1.548525790314832e-08	9.47127485273626e-09	0.9489724163822333
effector_memory_CD4_positive_alpha_beta_T_cell	-1.3840817664640727e-08	8.267964057325349e-09	0.9529376220114055
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-1.4250099251370216e-08	6.891026864308541e-09	0.9806762744157118
regulatory_T_cell	-1.616162166344646e-08	7.73550811751676e-09	0.9816586165881038
