Name	Coefficient	Coefficient_std_error	Coefficient_P_value
hematopoietic_precursor_cell	1.6588893089139596e-08	1.2338927890931585e-08	0.08940379508066498
gamma_delta_T_cell	1.1374744393061454e-08	1.0021736865384347e-08	0.1281861321288983
CD4_positive_alpha_beta_cytotoxic_T_cell	1.2094548706153362e-08	1.086230933591869e-08	0.1327593764607624
erythrocyte	1.741794867357292e-08	1.5770877584807845e-08	0.13470169979772328
transitional_stage_B_cell	1.1373933254312424e-08	1.1324380742870205e-08	0.15759877019560387
innate_lymphoid_cell	1.2547537807119683e-08	1.3238551978970604e-08	0.17161490485146041
natural_killer_cell	9.297174804696384e-09	1.1012794864494653e-08	0.19927442929330963
CD14_low_CD16_positive_monocyte	8.373563599070348e-09	1.0162752716835685e-08	0.2049850047675395
platelet	7.632177920323168e-09	1.056936724536788e-08	0.23511539883813115
peripheral_blood_mononuclear_cell	2.743035241233641e-09	1.1628895780371404e-08	0.4067625168673454
CD8_positive_alpha_beta_T_cell	2.7673512270250378e-09	1.293483837647962e-08	0.41529475586365766
conventional_dendritic_cell	2.595760186439067e-09	1.2411618799505869e-08	0.41716965622685814
effector_memory_CD8_positive_alpha_beta_T_cell	1.958951508594682e-09	1.0077159027324617e-08	0.4229332176668165
naive_B_cell	7.383348809436016e-10	1.0311471797582274e-08	0.471458827260319
mucosal_invariant_T_cell	-1.90659801991934e-09	1.0996357988586705e-08	0.5688253956815871
plasmacytoid_dendritic_cell	-6.991623135994025e-09	1.2130055513448198e-08	0.7178236540691892
CD16_negative_CD56_bright_natural_killer_cell_human	-6.172696948390796e-09	1.0281633023180758e-08	0.7258673403813751
CD4_positive_alpha_beta_T_cell	-9.275101735650182e-09	1.2819685962197476e-08	0.7653150348090124
dendritic_cell	-9.367735263257618e-09	1.2198796516900536e-08	0.7787335058167455
plasmablast	-9.113598254361682e-09	1.0993946538165286e-08	0.7964379287861966
memory_B_cell	-8.70335221301408e-09	9.77485856628205e-09	0.8133694357100612
double_negative_thymocyte	-1.504031970781319e-08	1.5235605580936546e-08	0.8382233540959063
central_memory_CD8_positive_alpha_beta_T_cell	-1.40884876598356e-08	1.199862956110789e-08	0.8798374777816609
CD14_positive_monocyte	-1.574885991424658e-08	1.269889910687055e-08	0.8925447029598432
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-1.866139009016343e-08	9.460251141025874e-09	0.9757300182225065
effector_memory_CD4_positive_alpha_beta_T_cell	-2.258481972239632e-08	9.852027557590167e-09	0.9890588068787378
central_memory_CD4_positive_alpha_beta_T_cell	-2.635520880227243e-08	1.0448424326839031e-08	0.9941723095310451
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-2.7092165011952957e-08	9.56707628254327e-09	0.997685750047175
regulatory_T_cell	-3.095925787523688e-08	1.0306095487233497e-08	0.9986676158874725
