Name	Coefficient	Coefficient_std_error	Coefficient_P_value
dendritic_cell	2.5064348090912394e-08	1.1398766745223964e-08	0.013943765061451056
erythrocyte	3.277345791275738e-08	1.531659579437377e-08	0.016188089631086776
innate_lymphoid_cell	1.9747640712816375e-08	1.1239557583615249e-08	0.03946089098439836
gamma_delta_T_cell	1.966300783101324e-08	1.3876961721578171e-08	0.07824827893838693
transitional_stage_B_cell	1.3876948137369162e-08	1.0023310285774918e-08	0.08310766417780363
plasmablast	1.4352738764597233e-08	1.223633962120065e-08	0.12040589314642197
hematopoietic_precursor_cell	1.1654587403567168e-08	1.0182113347040042e-08	0.12618458753979594
effector_memory_CD4_positive_alpha_beta_T_cell	1.0446206897257886e-08	9.87417608410528e-09	0.145043221468463
mucosal_invariant_T_cell	8.070884378665627e-09	1.1293107103816368e-08	0.2374054081194525
platelet	7.171954575863394e-09	1.078713857906508e-08	0.25306949857159655
double_negative_thymocyte	7.98892239097354e-09	1.2668434363840897e-08	0.2641456886045803
naive_B_cell	5.415656252716376e-09	9.501564500692699e-09	0.28434725488722845
memory_B_cell	4.073780306586323e-09	7.989932029305038e-09	0.30507330198844296
plasmacytoid_dendritic_cell	5.289054792274287e-09	1.056444388230415e-08	0.3083098674079179
effector_memory_CD8_positive_alpha_beta_T_cell	4.373314002428584e-09	1.0130368048965314e-08	0.33297850974285853
CD4_positive_alpha_beta_cytotoxic_T_cell	3.4954413686419897e-09	1.093316825990716e-08	0.3745941535685412
CD16_negative_CD56_bright_natural_killer_cell_human	1.980284412572416e-09	1.0523860163835598e-08	0.42537133522765297
peripheral_blood_mononuclear_cell	7.977732475510285e-10	1.1681591633732396e-08	0.4727761194463727
conventional_dendritic_cell	-2.0866141170609986e-09	1.1716121446060617e-08	0.5706768703105373
natural_killer_cell	-2.159886254734634e-09	1.019368217561922e-08	0.5839015433149087
central_memory_CD8_positive_alpha_beta_T_cell	-4.784917072952441e-09	9.59742442692847e-09	0.6909562280969082
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-5.182723743533359e-09	1.032679842554193e-08	0.6921209723765651
CD4_positive_alpha_beta_T_cell	-6.2365115669871685e-09	1.1341592935145805e-08	0.7087990510528726
CD8_positive_alpha_beta_T_cell	-6.548140850636896e-09	1.1335441370028314e-08	0.7182564252511701
central_memory_CD4_positive_alpha_beta_T_cell	-6.072100707912334e-09	9.55535311872708e-09	0.737437687705059
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-9.621444876936717e-09	9.37736346066162e-09	0.8475609929189516
regulatory_T_cell	-1.5583892376951537e-08	9.584781052876871e-09	0.9480145001148028
CD14_positive_monocyte	-1.854885924117102e-08	1.0841398174448338e-08	0.9564528617439426
CD14_low_CD16_positive_monocyte	-3.230984482232961e-08	1.0478063379759555e-08	0.9989773360286816
