Name	Coefficient	Coefficient_std_error	Coefficient_P_value
erythrocyte	2.6812250334353394e-08	1.1181426601300827e-08	0.008244064179498271
hematopoietic_precursor_cell	1.218091444671829e-08	8.345591598599846e-09	0.07220514445008959
peripheral_blood_mononuclear_cell	1.497703756310194e-08	1.125275748597695e-08	0.09160010012830883
innate_lymphoid_cell	7.678337957407112e-09	8.739851943025962e-09	0.1898244879171096
natural_killer_cell	6.365003312433811e-09	8.582018202477362e-09	0.229144431522268
CD14_positive_monocyte	6.887582832745109e-09	1.1600701090793743e-08	0.27634928156393357
mucosal_invariant_T_cell	4.013086409454996e-09	9.58223062446241e-09	0.337679313264677
double_negative_thymocyte	3.854646695825624e-09	1.1932626336775515e-08	0.3733346614511183
platelet	1.5042777032081317e-09	8.429499171221716e-09	0.4291832285849457
dendritic_cell	1.4984856666318901e-09	1.154833365393558e-08	0.44837904968832315
CD16_negative_CD56_bright_natural_killer_cell_human	3.4406599856283324e-10	9.312070614398409e-09	0.48526307899239035
plasmablast	-1.123281118769992e-09	9.018348846826599e-09	0.5495621019335267
CD14_low_CD16_positive_monocyte	-2.507176383356317e-09	1.1314407219392482e-08	0.5876840470974422
transitional_stage_B_cell	-2.196572151379574e-09	9.15373612306697e-09	0.5948211298591862
effector_memory_CD8_positive_alpha_beta_T_cell	-3.23748177147141e-09	9.51575748172794e-09	0.6331557882310189
CD4_positive_alpha_beta_T_cell	-4.595681986362856e-09	1.0802864073234013e-08	0.6647322915752791
gamma_delta_T_cell	-5.752990542598391e-09	1.1160706816761059e-08	0.6968870912846239
CD4_positive_alpha_beta_cytotoxic_T_cell	-5.335633700649797e-09	9.716172756173517e-09	0.7085486521235297
plasmacytoid_dendritic_cell	-5.380175139950938e-09	8.478242569040216e-09	0.7371508116957926
naive_B_cell	-7.168181890491021e-09	8.73530953760147e-09	0.7940624983828741
central_memory_CD4_positive_alpha_beta_T_cell	-8.958311051383252e-09	9.385921657328082e-09	0.830069839586147
memory_B_cell	-9.159165875806831e-09	8.800405113764477e-09	0.8510080092189239
CD8_positive_alpha_beta_T_cell	-1.1063226728695293e-08	9.88746903270999e-09	0.8684115679417945
regulatory_T_cell	-1.0485402097264363e-08	8.998000382802793e-09	0.8780519356085328
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-1.0584232274919055e-08	9.050466748267524e-09	0.8788924595213534
effector_memory_CD4_positive_alpha_beta_T_cell	-1.1604843686277186e-08	8.683004839167896e-09	0.9093071949302531
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-1.4040099263457275e-08	8.955946171068894e-09	0.9415226261485425
central_memory_CD8_positive_alpha_beta_T_cell	-1.7064716597602056e-08	8.350993783804658e-09	0.9794953235505766
conventional_dendritic_cell	-1.792882467674158e-08	8.576778979689555e-09	0.981708670811389
