Name	Coefficient	Coefficient_std_error	Coefficient_P_value
naive_B_cell	2.3131092855736472e-08	9.625312624092475e-09	0.008127206550490765
memory_B_cell	2.0669307109254244e-08	9.216226863449015e-09	0.012457820333939447
innate_lymphoid_cell	1.9856439701152926e-08	1.0173130272731369e-08	0.025477918240729702
peripheral_blood_mononuclear_cell	1.8486237016120506e-08	1.1599797049894727e-08	0.055505095024367526
CD4_positive_alpha_beta_cytotoxic_T_cell	1.1762513602218395e-08	8.847478551378904e-09	0.09184542957664671
transitional_stage_B_cell	1.2746766932331415e-08	1.0594226371355003e-08	0.11445323321099032
erythrocyte	1.2062844528343392e-08	1.070586503525954e-08	0.12992387870524114
double_negative_thymocyte	1.2024969719705337e-08	1.1470279427560345e-08	0.14723663707090956
CD14_low_CD16_positive_monocyte	1.1451684474505858e-08	1.2441036062159897e-08	0.17866183798875662
effector_memory_CD4_positive_alpha_beta_T_cell	6.643176402754038e-09	9.493249634980872e-09	0.24203267665316713
effector_memory_CD8_positive_alpha_beta_T_cell	5.339892653250049e-09	8.155685668713031e-09	0.2563160430599959
plasmablast	5.687464932370555e-09	1.0339139433598945e-08	0.29112856650517693
central_memory_CD4_positive_alpha_beta_T_cell	2.828622480952426e-09	8.498936278540726e-09	0.36963479107827535
gamma_delta_T_cell	1.6613777242303544e-09	1.0009204498906513e-08	0.43408438066635835
CD4_positive_alpha_beta_T_cell	-3.7686518633353387e-10	1.0917845998706736e-08	0.5137680642696727
dendritic_cell	-6.11585998297802e-10	9.996893013963913e-09	0.5243911185761666
regulatory_T_cell	-1.913128991708847e-09	9.435378849106627e-09	0.5803391675824517
CD14_positive_monocyte	-2.371972406226214e-09	1.133169628727542e-08	0.5829015288471341
hematopoietic_precursor_cell	-2.2357377947288376e-09	7.981315492305938e-09	0.610307841809064
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-4.048502269347065e-09	9.31430973811282e-09	0.6680932148574952
plasmacytoid_dendritic_cell	-4.213160888175211e-09	8.94148024827779e-09	0.6812484610377358
platelet	-6.983879363796037e-09	9.584875869648467e-09	0.7668876249264304
CD16_negative_CD56_bright_natural_killer_cell_human	-5.827312253072762e-09	7.894569438709024e-09	0.7697858788612257
central_memory_CD8_positive_alpha_beta_T_cell	-7.3586295311111315e-09	9.170678690360366e-09	0.7888416195405705
mucosal_invariant_T_cell	-8.896201125491741e-09	9.535959038140996e-09	0.8245670399692889
CD8_positive_alpha_beta_T_cell	-1.2976938231949197e-08	1.0394333053679567e-08	0.8940691898211308
natural_killer_cell	-1.114860868795889e-08	8.546902134745919e-09	0.903951971370877
conventional_dendritic_cell	-1.1660891383830895e-08	8.27978712868307e-09	0.92048722202059
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-1.8263482739840813e-08	8.56476434628728e-09	0.9835129117913535
