Name	Coefficient	Coefficient_std_error	Coefficient_P_value
memory_B_cell	2.6065885899417402e-08	8.9366039973512e-09	0.001768466419669029
naive_B_cell	2.6476672649496073e-08	9.824500890424589e-09	0.0035198156551997503
double_negative_thymocyte	1.8539830473314627e-08	1.1301485690568782e-08	0.05045298463550519
erythrocyte	1.5900706008541576e-08	1.1050123788367223e-08	0.07508067318477346
transitional_stage_B_cell	1.373474879069825e-08	9.742754279891356e-09	0.07930825917776857
effector_memory_CD8_positive_alpha_beta_T_cell	1.1959154021772968e-08	8.96251150527701e-09	0.09104409947662218
innate_lymphoid_cell	1.2136186531667488e-08	1.0391821635581775e-08	0.12143174256109118
gamma_delta_T_cell	1.1092861203838632e-08	1.0870317834413233e-08	0.15375219535318652
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	9.023898505448292e-09	8.939019507477535e-09	0.1563685685331228
plasmablast	7.883264995093173e-09	9.606090182622877e-09	0.2059220260320459
mucosal_invariant_T_cell	7.728962791674433e-09	9.605563205687815e-09	0.210515456557413
peripheral_blood_mononuclear_cell	8.986677923248746e-09	1.2028729200504456e-08	0.2275012403868098
CD4_positive_alpha_beta_cytotoxic_T_cell	6.012890278015728e-09	8.800637137132171e-09	0.24722964778439482
effector_memory_CD4_positive_alpha_beta_T_cell	5.771478927094387e-09	1.0217807795587469e-08	0.2860895553293851
central_memory_CD4_positive_alpha_beta_T_cell	3.966016436423282e-09	8.680594646659362e-09	0.32387755889947023
CD14_low_CD16_positive_monocyte	4.355279742659407e-09	1.1411313215369879e-08	0.3513555534513323
dendritic_cell	2.67480880859303e-09	8.752261701619315e-09	0.37994949298520186
central_memory_CD8_positive_alpha_beta_T_cell	1.5468540743604777e-09	9.90256113476651e-09	0.43793474229626317
regulatory_T_cell	-2.3004623265121e-09	9.130381491190635e-09	0.5994627987089896
CD14_positive_monocyte	-3.850014484863058e-09	9.607015544573985e-09	0.655698017935241
natural_killer_cell	-4.762896507842472e-09	9.559854696555017e-09	0.6908349793027233
CD4_positive_alpha_beta_T_cell	-5.903575164922281e-09	1.0700299476154503e-08	0.7094300875644592
platelet	-5.627784683652769e-09	9.647384697433984e-09	0.7201705458882589
hematopoietic_precursor_cell	-4.773559340488474e-09	8.134021437345999e-09	0.721352268155099
CD16_negative_CD56_bright_natural_killer_cell_human	-7.0044254548372995e-09	8.930035566422105e-09	0.7835876101099537
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-6.853887266755222e-09	8.486346391669656e-09	0.7903502072694875
plasmacytoid_dendritic_cell	-7.522730033735142e-09	8.446413229829969e-09	0.8134393594691638
CD8_positive_alpha_beta_T_cell	-1.000937252996774e-08	9.812998406700217e-09	0.8461385281795364
conventional_dendritic_cell	-1.2317952545826697e-08	7.639295394831302e-09	0.9465675568164591
