Name	Coefficient	Coefficient_std_error	Coefficient_P_value
memory_B_cell	2.1732245717987628e-08	9.907162993678125e-09	0.01413247786763289
naive_B_cell	1.6208497243286535e-08	1.014195194953954e-08	0.05500329926388003
plasmablast	1.589309970139558e-08	1.036863949938105e-08	0.06266198704126875
innate_lymphoid_cell	1.4069474661309061e-08	1.0628959893005673e-08	0.09280259253114226
double_negative_thymocyte	1.2407116674341298e-08	1.0934546926215375e-08	0.1282565314509176
gamma_delta_T_cell	1.037097535600769e-08	1.0326487791813712e-08	0.15761506478483728
effector_memory_CD8_positive_alpha_beta_T_cell	8.91625407798439e-09	9.175453836108007e-09	0.16558728312903043
peripheral_blood_mononuclear_cell	1.095905890892789e-08	1.1838701721168015e-08	0.17730155274327092
transitional_stage_B_cell	7.557940511837793e-09	1.0522045757439643e-08	0.23628748200295585
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	5.376725477792901e-09	8.570735972264941e-09	0.26521972466862365
central_memory_CD4_positive_alpha_beta_T_cell	4.2219738395475866e-09	8.872032644341105e-09	0.3170819054148073
CD4_positive_alpha_beta_T_cell	4.01048222312177e-09	1.0317318156760726e-08	0.3487439981608914
mucosal_invariant_T_cell	2.0103886977622433e-09	9.78371718512037e-09	0.4185973438870957
erythrocyte	2.2860761087720788e-09	1.149658184821979e-08	0.421190694213682
plasmacytoid_dendritic_cell	1.1347621576012962e-09	9.010360605904414e-09	0.4498898263748456
hematopoietic_precursor_cell	7.522359094822029e-10	7.954263815476425e-09	0.46232813082965835
natural_killer_cell	5.956681672020663e-11	8.79613035070162e-09	0.49729840974133477
CD4_positive_alpha_beta_cytotoxic_T_cell	-5.745978312152333e-11	8.554632580178602e-09	0.502679596619914
CD14_low_CD16_positive_monocyte	-2.4408553279598744e-10	1.1836700357715435e-08	0.5082260372722059
effector_memory_CD4_positive_alpha_beta_T_cell	-1.4829392589861804e-09	1.0453881250327831e-08	0.5564028788515746
dendritic_cell	-1.3401594530324395e-09	8.418444293998618e-09	0.5632416865863165
central_memory_CD8_positive_alpha_beta_T_cell	-2.8382813486169994e-09	9.452926990048321e-09	0.6180083800854005
CD16_negative_CD56_bright_natural_killer_cell_human	-5.4452936206621365e-09	8.495312070144803e-09	0.7392309564580742
CD8_positive_alpha_beta_T_cell	-7.537983267326406e-09	9.709527324910325e-09	0.7812285694246821
platelet	-9.61693997702455e-09	9.569890002622744e-09	0.8425314608852144
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-9.161673670975878e-09	9.066451465725644e-09	0.8438727463603664
regulatory_T_cell	-1.1113549422854396e-08	8.462183791678784e-09	0.905462313687936
CD14_positive_monocyte	-1.4308081502138992e-08	9.18149372676516e-09	0.9404261487554634
conventional_dendritic_cell	-1.5662951841879023e-08	8.161845123031657e-09	0.9725107096674428
