Name	Coefficient	Coefficient_std_error	Coefficient_P_value
plasmablast	1.234815240264014e-08	1.2329893190273004e-08	0.15829718729219483
CD8_positive_alpha_beta_T_cell	1.2050251853494359e-08	1.3053924748238195e-08	0.17797407613554989
innate_lymphoid_cell	1.1702387259087313e-08	1.2681727973956357e-08	0.1780621181082111
hematopoietic_precursor_cell	7.133254889661029e-09	9.292877436395914e-09	0.22136108282481143
gamma_delta_T_cell	1.092501677252881e-08	1.4268868825854698e-08	0.22194109640603116
plasmacytoid_dendritic_cell	7.461003736515889e-09	1.07580163839054e-08	0.2439886010207351
dendritic_cell	8.300872880319794e-09	1.28824890888796e-08	0.2596732172216404
erythrocyte	9.466459090845203e-09	1.5025236985554955e-08	0.2643351043809738
peripheral_blood_mononuclear_cell	5.489167372872221e-09	1.1540238287262758e-08	0.31716023667269766
CD16_negative_CD56_bright_natural_killer_cell_human	3.2078347186068757e-09	1.195618851691288e-08	0.39423454624346393
platelet	2.6885850671668943e-09	1.160760581751142e-08	0.40841553518825335
CD4_positive_alpha_beta_cytotoxic_T_cell	-6.224459327409704e-11	1.1870150528587572e-08	0.502091960512357
double_negative_thymocyte	-6.510865237618076e-10	1.3106823923534782e-08	0.5198094638964981
transitional_stage_B_cell	-1.2737432724459252e-09	9.21929793923935e-09	0.5549432336526416
CD4_positive_alpha_beta_T_cell	-2.9833538729649364e-09	1.1771056824253293e-08	0.6000390807802976
naive_B_cell	-2.339697881649827e-09	9.080848478759802e-09	0.6016622151577936
effector_memory_CD8_positive_alpha_beta_T_cell	-6.482138861516651e-09	1.1274451460861488e-08	0.717334233979524
conventional_dendritic_cell	-9.515091539712106e-09	1.2267060255199073e-08	0.7810256859166451
mucosal_invariant_T_cell	-8.995600849770738e-09	1.1158209667002838e-08	0.7899324128837858
memory_B_cell	-9.043178070632756e-09	9.402040668689527e-09	0.8319328523400848
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-1.1631563062291284e-08	1.1795515649429112e-08	0.8379580838372451
natural_killer_cell	-1.3447149943856136e-08	9.774075662200921e-09	0.9155578493191352
effector_memory_CD4_positive_alpha_beta_T_cell	-1.639939728515671e-08	1.0395086544553694e-08	0.942672436281163
CD14_low_CD16_positive_monocyte	-2.0175665966733804e-08	1.1125375858055092e-08	0.9651212237615588
central_memory_CD8_positive_alpha_beta_T_cell	-2.496132583255431e-08	1.043146820561191e-08	0.9916418082768065
regulatory_T_cell	-2.483668069128823e-08	1.0232064283589206e-08	0.992394965574619
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-2.2127459912812547e-08	8.93116690573916e-09	0.9933857046531376
CD14_positive_monocyte	-2.917587507378981e-08	1.124749396508536e-08	0.9952565232192861
central_memory_CD4_positive_alpha_beta_T_cell	-2.6243051394339886e-08	8.662328495731426e-09	0.9987754522414588
