Name	Coefficient	Coefficient_std_error	Coefficient_P_value
innate_lymphoid_cell	1.3498523146614884e-08	1.2256480866770367e-08	0.13537487757502809
CD8_positive_alpha_beta_T_cell	1.2686098938418879e-08	1.2886129980076419e-08	0.1624405106227113
gamma_delta_T_cell	1.3769897632337022e-08	1.4140551880559588e-08	0.16508094319705602
plasmablast	1.087677132491519e-08	1.2013907794463566e-08	0.18264044070545388
erythrocyte	1.0944548735981546e-08	1.4693398335265639e-08	0.22817768441807168
hematopoietic_precursor_cell	4.806626507773771e-09	9.045415300330804e-09	0.29757491552767185
plasmacytoid_dendritic_cell	5.502374931566744e-09	1.055120603341119e-08	0.3010118605134262
dendritic_cell	5.010767633691358e-09	1.2469548775798883e-08	0.3439007684347387
CD16_negative_CD56_bright_natural_killer_cell_human	3.5714221465607637e-09	1.1547543374365925e-08	0.37855433980092273
peripheral_blood_mononuclear_cell	2.133524865862661e-09	1.1445401989868991e-08	0.42606205435330324
transitional_stage_B_cell	7.437890462317655e-10	9.133937626890908e-09	0.4675494515033231
CD4_positive_alpha_beta_cytotoxic_T_cell	3.2855098435159133e-10	1.1794131360798066e-08	0.4888880389464582
platelet	-1.6425164783293547e-10	1.1392682112913189e-08	0.505751468909093
double_negative_thymocyte	-7.244728888651743e-10	1.2790264176533838e-08	0.5225850215237869
naive_B_cell	-5.399044189854018e-10	9.063927380742747e-09	0.5237494615797867
effector_memory_CD8_positive_alpha_beta_T_cell	-3.6204474492336497e-09	1.1063037293897288e-08	0.6282629380209525
CD4_positive_alpha_beta_T_cell	-4.033336677081215e-09	1.1317660907564337e-08	0.6392202998180408
mucosal_invariant_T_cell	-8.6347920376387e-09	1.0754956858307887e-08	0.7889739816399862
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-1.0238346063194567e-08	1.155549714534629e-08	0.8121953305550924
conventional_dendritic_cell	-1.1166192919581318e-08	1.1551738991430876e-08	0.8331340870380459
memory_B_cell	-8.9579787540609e-09	9.221013009731094e-09	0.8343439705789265
natural_killer_cell	-1.3081134759055464e-08	9.757376579526675e-09	0.9099814084090176
effector_memory_CD4_positive_alpha_beta_T_cell	-1.532468808131681e-08	1.0439658188654374e-08	0.9289383891835354
CD14_low_CD16_positive_monocyte	-2.2000550561792096e-08	1.0641876602694988e-08	0.9806497032545889
regulatory_T_cell	-2.3260587700449402e-08	1.0088560460403007e-08	0.9894346195393654
central_memory_CD8_positive_alpha_beta_T_cell	-2.398286211629579e-08	1.0242034372914342e-08	0.990399646680977
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-2.3218230176558612e-08	8.837896217371092e-09	0.9956944752507574
CD14_positive_monocyte	-2.9121044835949773e-08	1.1021250461612828e-08	0.9958822988279034
central_memory_CD4_positive_alpha_beta_T_cell	-2.5171404437469016e-08	8.66416760325354e-09	0.9981650866476147
