Name	Coefficient	Coefficient_std_error	Coefficient_P_value
erythrocyte	3.81551122319826e-08	1.3442032839248196e-08	0.002266357732686171
hematopoietic_precursor_cell	1.1658088644531024e-08	9.436323471935019e-09	0.10833187580762277
innate_lymphoid_cell	5.71527002330726e-09	9.388718371907105e-09	0.271349044147681
plasmacytoid_dendritic_cell	5.704702279157208e-09	9.393021226212963e-09	0.2718145997105408
platelet	4.853851360261554e-09	1.161581808078403e-08	0.33802267456081814
peripheral_blood_mononuclear_cell	3.5749873409036655e-09	1.1881241106177653e-08	0.3817478817473879
dendritic_cell	1.7586431100037238e-09	1.0602492647446952e-08	0.4341293443877699
plasmablast	-1.6683707368877568e-09	1.0780273354948325e-08	0.5614953083310121
CD16_negative_CD56_bright_natural_killer_cell_human	-5.020243569161257e-09	1.1282072566186266e-08	0.6718311961443983
CD8_positive_alpha_beta_T_cell	-6.345822380393521e-09	1.1795134550664557e-08	0.7047126460907824
transitional_stage_B_cell	-5.998211742148346e-09	9.907303173116446e-09	0.7275544510490759
central_memory_CD8_positive_alpha_beta_T_cell	-6.276918369873365e-09	9.91696439173282e-09	0.7366160543744106
conventional_dendritic_cell	-6.144989164278573e-09	9.233098814184775e-09	0.7471471589803633
CD14_positive_monocyte	-8.681275094963226e-09	1.053448686683857e-08	0.7950533570824083
CD4_positive_alpha_beta_T_cell	-1.2714175797312151e-08	1.2954056719235426e-08	0.8368224904812475
effector_memory_CD4_positive_alpha_beta_T_cell	-1.1671539901165717e-08	1.0813000538968721e-08	0.8597950091268075
memory_B_cell	-1.019286239231526e-08	8.587527361747806e-09	0.8823739578441909
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-1.1257965722484574e-08	9.11690696761885e-09	0.8915558762121815
mucosal_invariant_T_cell	-1.2371124398413393e-08	9.839935074161177e-09	0.8956659741156592
double_negative_thymocyte	-1.8544343919343717e-08	1.2904405469974705e-08	0.9246488555784877
naive_B_cell	-1.476140243902692e-08	9.440350449081284e-09	0.9410500878945001
regulatory_T_cell	-1.5067282989803632e-08	8.410740403579933e-09	0.9633881297459933
effector_memory_CD8_positive_alpha_beta_T_cell	-1.7955353593810066e-08	9.22314030294408e-09	0.9742189773338319
CD14_low_CD16_positive_monocyte	-2.1011677524647724e-08	1.0581447063281862e-08	0.9764671924561323
central_memory_CD4_positive_alpha_beta_T_cell	-1.957988977870058e-08	8.955026943554651e-09	0.9856093488254487
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-1.9593178463747712e-08	8.724418178690087e-09	0.9876411490623054
natural_killer_cell	-2.135617022736115e-08	9.255863859942019e-09	0.989481296947027
CD4_positive_alpha_beta_cytotoxic_T_cell	-2.2256799563424228e-08	9.571823744436442e-09	0.989970468540757
gamma_delta_T_cell	-3.027879388031494e-08	1.045909048050296e-08	0.9981040496573106
