Name	Coefficient	Coefficient_std_error	Coefficient_P_value
erythrocyte	4.338873375028908e-08	1.0649931455122476e-08	2.309773194609472e-05
peripheral_blood_mononuclear_cell	1.4569841878635038e-08	1.0533231382228053e-08	0.08329775550940438
CD14_positive_monocyte	1.7380887284346312e-08	1.2777754942677588e-08	0.08687607939157971
dendritic_cell	8.408122568225864e-09	1.0924943465784523e-08	0.22076083366783084
central_memory_CD8_positive_alpha_beta_T_cell	5.406467750300417e-09	7.158681647847657e-09	0.22505479965276215
transitional_stage_B_cell	4.934511110609005e-09	7.587298758548992e-09	0.2577283439966641
effector_memory_CD4_positive_alpha_beta_T_cell	5.048550979582229e-09	7.844816757505114e-09	0.25993284907141356
plasmablast	4.4855135036179036e-09	8.143687458684432e-09	0.2908866358767357
conventional_dendritic_cell	4.635336484328078e-09	9.400111260875693e-09	0.31096564305285945
memory_B_cell	3.331960654960279e-09	7.161590461176073e-09	0.32087468378499034
platelet	4.414749694770686e-09	9.911324620832886e-09	0.32800640002037085
hematopoietic_precursor_cell	2.003652025358002e-09	6.734676655395301e-09	0.3830375459944919
CD14_low_CD16_positive_monocyte	2.6009761159946673e-09	9.120747477437927e-09	0.38775642412396216
naive_B_cell	1.5713250678204498e-09	7.534387506942288e-09	0.4173982938440362
effector_memory_CD8_positive_alpha_beta_T_cell	1.5679419894894793e-09	8.087181059589543e-09	0.4231349547660296
plasmacytoid_dendritic_cell	1.8344034297139386e-10	8.489212988380768e-09	0.4913800709149685
mucosal_invariant_T_cell	-4.965446151064604e-10	9.184235366949486e-09	0.5215582648901251
regulatory_T_cell	-6.003771829280227e-10	7.371306543085284e-09	0.5324571077685607
central_memory_CD4_positive_alpha_beta_T_cell	-2.2364563691167946e-09	7.833423911979657e-09	0.6123701246063957
naive_thymus_derived_CD8_positive_alpha_beta_T_cell	-5.333052389548275e-09	1.031251169889976e-08	0.697472140485179
double_negative_thymocyte	-5.914162894150456e-09	8.697325270464933e-09	0.7517471037768896
innate_lymphoid_cell	-5.200417778837657e-09	7.1927602444289534e-09	0.7651622839041798
CD16_negative_CD56_bright_natural_killer_cell_human	-6.141098579225866e-09	8.067904270353308e-09	0.7767241531491111
natural_killer_cell	-7.987654391985774e-09	1.0354844457594755e-08	0.7797629845505596
gamma_delta_T_cell	-1.1785174531498944e-08	1.0578520616075282e-08	0.8673746521454793
CD4_positive_alpha_beta_T_cell	-1.4299907114617637e-08	1.1207463383407466e-08	0.8990093684627997
naive_thymus_derived_CD4_positive_alpha_beta_T_cell	-1.3417455007164613e-08	9.599020519738187e-09	0.9189125585656953
CD8_positive_alpha_beta_T_cell	-2.0828956839644722e-08	1.2029342239542126e-08	0.9583198041610378
CD4_positive_alpha_beta_cytotoxic_T_cell	-1.6136574583701962e-08	8.132117821745912e-09	0.9763888872569539
