trait	rg	se	z	p
AGREE_Gupta	-0.3362	0.0424	-7.9341	2.1202e-15
AGRI_Cheesman	-0.3688	0.0769	-4.7965	1.6143e-06
ALC	0.0695	0.0330	2.1074	3.5080e-02
ARTS_Cheesman	0.2615	0.0537	4.8702	1.1149e-06
ASPEED_Linner	-0.2028	0.0282	-7.1880	6.5731e-13
BMI	0.1378	0.0198	6.9440	3.8104e-12
BP	-0.0250	0.0259	-0.9645	3.3481e-01
BUSI_Cheesman	-0.1202	0.0573	-2.0988	3.5837e-02
Cancer	0.2138	0.0757	2.8248	4.7317e-03
Coffee	-0.0022	0.0314	-0.0689	9.4504e-01
CONSC_Gupta	-0.0919	0.0394	-2.3344	1.9575e-02
DD_ANX	0.9100	0.0398	22.8833	6.8136e-116
DEPRI_Neale	0.5101	0.0325	15.7053	1.3913e-55
Diabetes	0.1508	0.0335	4.4966	6.9050e-06
DRINKS_Linner	0.0721	0.0288	2.5000	1.2418e-02
EA_okbay	-0.1927	0.0208	-9.2535	2.1723e-20
EDU_Cheesman	-0.1248	0.0602	-2.0729	3.8181e-02
EDU	-0.2367	0.0235	-10.0930	5.9348e-24
ENG_Cheesman	-0.1495	0.0396	-3.7808	1.5634e-04
EXTRA_Gupta	-0.0398	0.0378	-1.0551	2.9136e-01
Fruit	-0.1062	0.0301	-3.5288	4.1739e-04
Health_Cheesman	0.0095	0.0435	0.2175	8.2780e-01
Height	-0.0709	0.0190	-3.7309	1.9079e-04
ICT_Cheesman	-0.0706	0.0435	-1.6238	1.0442e-01
ILL	0.5298	0.0255	20.7828	6.1941e-96
INS	0.3814	0.0282	13.5100	1.3646e-41
LDL	-0.0301	0.0273	-1.1034	2.6983e-01
LON	0.5870	0.0320	18.3324	4.5662e-75
NatSci_Cheesman	-0.1130	0.0643	-1.7578	7.8777e-02
NEURO_Gupta	0.5824	0.0207	28.1664	1.5076e-174
NSEXP_Linner	0.3958	0.0241	16.4484	8.6077e-61
OPEN_Gupta	0.1938	0.0417	4.6511	3.3011e-06
PA	0.0571	0.0315	1.8119	7.0007e-02
REPERR_Schoeler	0.2419	0.0862	2.8068	5.0036e-03
Risk	0.3208	0.0299	10.7150	8.6549e-27
RT	0.0850	0.0299	2.8454	4.4350e-03
SERV_Cheesman	-0.2058	0.0668	-3.0822	2.0550e-03
Sex	0.0308	0.0612	0.5040	6.1426e-01
SMOKER_Linner	0.3793	0.0239	15.8662	1.0865e-56
Smoking	0.3955	0.0269	14.6837	8.2017e-49
Social_Cheesman	0.0782	0.0526	1.4863	1.3719e-01
UKBBpart	-0.2807	0.0273	-10.2882	7.9670e-25
VEG	0.2411	0.0357	6.7471	1.5083e-11
wALC	0.0164	0.0500	0.3284	7.4264e-01
wBMI	0.1057	0.0237	4.4657	7.9826e-06
wBP	-0.0389	0.0350	-1.1122	2.6605e-01
wCancer	0.3052	0.1091	2.7983	5.1366e-03
wCoffee	0.1019	0.0597	1.7067	8.7887e-02
wDD_ANX	0.9108	0.0900	10.1221	4.4097e-24
wDiabetes	0.2311	0.0515	4.4898	7.1299e-06
wEDU	-0.2979	0.0260	-11.4486	2.3907e-30
wFruit	-0.1411	0.0407	-3.4649	5.3043e-04
wHeight	-0.0820	0.0229	-3.5794	3.4432e-04
wILL	0.5838	0.0369	15.8157	2.4231e-56
wINS	0.5099	0.0429	11.8915	1.3110e-32
wLDL	-0.0305	0.0419	-0.7264	4.6759e-01
wLON	0.6113	0.0549	11.1430	7.7497e-29
wPA	-0.0579	0.0536	-1.0805	2.7993e-01
wRisk	0.3560	0.0560	6.3592	2.0287e-10
wRT	0.1271	0.0452	2.8108	4.9412e-03
wSex	0.2648	0.3197	0.8283	4.0748e-01
wSmoking	0.3990	0.0388	10.2905	7.7783e-25
wUKBBpart	-0.3185	0.0833	-3.8224	1.3214e-04
wVEG	0.2450	0.0795	3.0836	2.0454e-03
